p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,datagenes,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
0,1.541807181776241,0.888,0.579,0,0,gapdhs,gapdhs,ENSNFUG00015004492,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",ENSG00000105679,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
0,1.5172528226395343,0.818,0.426,0,0,ENSNFUG00015011525,,ENSNFUG00015011525,chemokine-like factor,ENSG00000217555,CKLF,chemokine like factor
0,1.5115395418595479,0.365,0.12,0,0,ENSNFUG00015001743,,ENSNFUG00015001743,NA,ENSG00000125730,C3,complement C3
0,1.5015345101548796,0.861,0.44,0,0,ENSNFUG00015024760,,ENSNFUG00015024760,NA,ENSG00000030582,GRN,granulin precursor
0,1.4891112918964686,0.601,0.324,0,0,KLF2,KLF2,ENSNFUG00015005428,Kruppel like factor 2,ENSG00000127528,KLF2,Kruppel like factor 2
0,1.4891112918964686,0.601,0.324,0,0,KLF2,KLF2,ENSNFUG00015005428,Kruppel like factor 2,ENSG00000266265,KLF14,Kruppel like factor 14
0,1.4891112918964686,0.601,0.324,0,0,KLF2,KLF2,ENSNFUG00015005428,Kruppel like factor 2,ENSG00000283039,KLF18,Kruppel like factor 18
0,1.4891112918964686,0.601,0.324,0,0,KLF2,KLF2,ENSNFUG00015005428,Kruppel like factor 2,ENSG00000171872,KLF17,Kruppel like factor 17
0,1.479338530992313,0.975,0.613,0,0,TALDO1,TALDO1,ENSNFUG00015011563,transaldolase 1,ENSG00000177156,TALDO1,transaldolase 1
0,1.466346712169788,0.627,0.306,0,0,hopx,hopx,ENSNFUG00015002818,HOP homeobox,ENSG00000171476,HOPX,HOP homeobox
0,1.4544158869932318,0.978,0.705,0,0,Nfu-g-1-011208,NA,NA,NA,NA,NA,NA
0,1.420926701283993,0.638,0.351,0,0,ptprc,ptprc,ENSNFUG00015017578,protein tyrosine phosphatase receptor type C,,NA,NA
0,1.3990337657344218,0.615,0.354,0,0,ENSNFUG00015023036,,ENSNFUG00015023036,NA,,NA,NA
0,1.397916033143823,0.348,0.16,0,0,pfkfb3,pfkfb3,ENSNFUG00015021060,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",ENSG00000170525,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
0,1.3929808919000364,0.579,0.376,0,0,slc30a9,slc30a9,ENSNFUG00015001548,glutathione-disulfide reductase,ENSG00000014824,SLC30A9,solute carrier family 30 member 9
0,1.3806035151736298,0.941,0.765,0,0,ARPC3,ARPC3,ENSNFUG00015011245,actin related protein 2/3 complex subunit 3,ENSG00000111229,ARPC3,actin related protein 2/3 complex subunit 3
0,1.3744170474963031,0.789,0.627,0,0,calm2a,calm2a,ENSNFUG00015000255,"calmodulin 2a (phosphorylase kinase, delta)",ENSG00000143933,CALM2,calmodulin 2
0,1.3578699360327753,0.697,0.397,0,0,actr3.1,NA,NA,NA,NA,NA,NA
0,1.3514577978733429,0.863,0.634,0,0,pkma,pkma,ENSNFUG00015008572,pyruvate kinase M1/2a,ENSG00000067225,PKM,pyruvate kinase M1/2
0,1.3465129074871567,0.684,0.403,0,0,glod5,glod5,ENSNFUG00015002323,glyoxalase domain containing 5,ENSG00000171433,GLOD5,glyoxalase domain containing 5
0,1.3455848847616614,0.875,0.737,0,0,ARPC2,ARPC2,ENSNFUG00015024476,actin related protein 2/3 complex subunit 2,ENSG00000163466,ARPC2,actin related protein 2/3 complex subunit 2
0,1.3190836891709576,0.257,0.048,0,0,sv2ca,sv2ca,ENSNFUG00015018393,synaptic vesicle glycoprotein 2C-like,ENSG00000122012,SV2C,synaptic vesicle glycoprotein 2C
0,1.3019844538572696,0.569,0.277,0,0,Nfu-g-1-020481,NA,NA,NA,NA,NA,NA
0,1.2979529627239286,0.699,0.401,0,0,Nfu-g-1-014152,NA,NA,NA,NA,NA,NA
0,1.2974707303247106,0.336,0.127,0,0,ENSNFUG00015008595,,ENSNFUG00015008595,hexokinase 3,,NA,NA
0,1.2955417561323528,0.54,0.282,0,0,spns3,spns3,ENSNFUG00015024757,spinster homolog 3 (Drosophila),ENSG00000182557,SPNS3,sphingolipid transporter 3 (putative)
0,1.254501631737475,1,0.675,0,0,CFL1L,CFL1L,ENSNFUG00015006876,"destrin, actin depolymerizing factor",,NA,NA
0,1.2436788875404474,0.381,0.19,0,0,ALAS1,ALAS1,ENSNFUG00015007174,5'-aminolevulinate synthase 1,ENSG00000023330,ALAS1,5'-aminolevulinate synthase 1
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000262406,MMP12,matrix metallopeptidase 12
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000167346,MMP26,matrix metallopeptidase 26
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000166670,MMP10,matrix metallopeptidase 10
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000137674,MMP20,matrix metallopeptidase 20
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000137675,MMP27,matrix metallopeptidase 27
0,1.2338850167892128,0.334,0.13,0,0,CABZ01030094.1,CABZ01030094.1,ENSNFUG00015011316,matrix metalloproteinase-17-like,ENSG00000149968,MMP3,matrix metallopeptidase 3
0,1.222105942468535,0.518,0.311,0,0,itgb2,itgb2,ENSNFUG00015014913,"integrin, beta 2",ENSG00000160255,ITGB2,integrin subunit beta 2
0,1.2183936183287032,0.348,0.161,0,0,OLA.27416,OLA.27416,ENSNFUG00015023073,sesquipedalian-1-like,ENSG00000177096,PHETA2,PH domain containing endocytic trafficking adaptor 2
0,1.2183936183287032,0.348,0.161,0,0,OLA.27416,OLA.27416,ENSNFUG00015023073,sesquipedalian-1-like,ENSG00000198324,PHETA1,PH domain containing endocytic trafficking adaptor 1
0,1.2099941675201553,0.585,0.505,0,0,SYF2,SYF2,ENSNFUG00015014575,SYF2 pre-mRNA splicing factor,ENSG00000117614,SYF2,SYF2 pre-mRNA splicing factor
0,1.2061551913367645,0.781,0.543,0,0,GMFG,GMFG,ENSNFUG00015001975,glia maturation factor gamma,ENSG00000130755,GMFG,glia maturation factor gamma
0,1.1930626509906923,0.592,0.374,0,0,ptpn6,ptpn6,ENSNFUG00015000317,protein tyrosine phosphatase non-receptor type 6,ENSG00000111679,PTPN6,protein tyrosine phosphatase non-receptor type 6
0,1.1908933507500543,0.74,0.728,0,0,glrx,glrx,ENSNFUG00015008246,glutaredoxin,ENSG00000173221,GLRX,glutaredoxin
0,1.1864930199789483,0.892,0.531,0,0,CORO1A,CORO1A,ENSNFUG00015000425,coronin-1A-like,ENSG00000102879,CORO1A,coronin 1A
0,1.1720985066849705,0.854,0.471,0,0,KRT18,KRT18,ENSNFUG00015015409,"keratin, type I cytoskeletal 18-like",,NA,NA
0,1.1720985066849705,0.854,0.471,0,0,KRT18,KRT18,ENSNFUG00015025107,"keratin, type I cytoskeletal 18-like",,NA,NA
0,1.1720985066849705,0.854,0.471,0,0,KRT18,KRT18,ENSNFUG00015025107,"keratin, type I cytoskeletal 18-like",,NA,NA
0,1.171106989642654,0.963,0.604,0,0,lcp1,lcp1,ENSNFUG00015007237,lymphocyte cytosolic protein 1,ENSG00000136167,LCP1,lymphocyte cytosolic protein 1
0,1.1626420516293077,0.512,0.299,0,0,scinla,scinla,ENSNFUG00015008294,scinderin like a,,NA,NA
0,1.149918083784504,0.272,0.092,0,0,ltb4r,ltb4r,ENSNFUG00015018877,leukotriene B4 receptor 1-like,ENSG00000213903,LTB4R,leukotriene B4 receptor
0,1.1428993114281782,0.577,0.383,0,0,cxcr4b,NA,NA,NA,NA,NA,NA
0,1.1148075173577474,0.681,0.457,0,0,CD53,CD53,ENSNFUG00015013219,tetraspanin 4,ENSG00000143119,CD53,CD53 molecule
0,1.100569596626677,0.876,0.647,0,0,ENSNFUG00015007883,,ENSNFUG00015007883,myosin light polypeptide 6-like,ENSG00000092841,MYL6,myosin light chain 6
0,1.100569596626677,0.876,0.647,0,0,ENSNFUG00015007883,,ENSNFUG00015007883,myosin light polypeptide 6-like,ENSG00000196465,MYL6B,myosin light chain 6B
0,1.100038655683587,0.894,0.664,0,0,actb1,NA,NA,NA,NA,NA,NA
0,1.0972149816406944,0.623,0.579,0,0,ndufa2,ndufa2,ENSNFUG00015006610,"NADH:ubiquinone oxidoreductase subunit A2",ENSG00000131495,NDUFA2,"NADH:ubiquinone oxidoreductase subunit A2"
0,1.0625258114735376,0.786,0.735,0,0,YWHAB,YWHAB,ENSNFUG00015004709,14-3-3 protein beta/alpha-1-like,ENSG00000166913,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
0,1.0625258114735376,0.786,0.735,0,0,YWHAB,YWHAB,ENSNFUG00015016859,14-3-3 protein beta/alpha-1,ENSG00000166913,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
0,1.0542235149669081,0.678,0.657,0,0,BRK1,BRK1,ENSNFUG00015007053,BRICK1 subunit of SCAR/WAVE actin nucleating complex,ENSG00000254999,BRK1,BRICK1 subunit of SCAR/WAVE actin nucleating complex
0,1.0306172301274408,0.662,0.593,0,0,ATP6V1G1,ATP6V1G1,ENSNFUG00015000529,V-type proton ATPase subunit G 1-like,ENSG00000136888,ATP6V1G1,ATPase H+ transporting V1 subunit G1
0,1.0271597352427912,0.763,0.76,0,0,ENSNFUG00015006430,,ENSNFUG00015006430,NA,,NA,NA
0,0.988608078644376,0.92,0.678,0,0,arpc1b,arpc1b,ENSNFUG00015007224,"actin related protein 2/3 complex, subunit 1B",ENSG00000130429,ARPC1B,actin related protein 2/3 complex subunit 1B
0,0.9580133660370413,0.902,0.815,0,0,S100V2,S100V2,ENSNFUG00015022491,S100 calcium binding protein A14,ENSG00000189171,S100A13,S100 calcium binding protein A13
0,0.9546480974759453,0.863,0.826,0,0,NDUFA4,NDUFA4,ENSNFUG00015000864,cytochrome c oxidase subunit NDUFA4-like,ENSG00000189043,NDUFA4,NDUFA4 mitochondrial complex associated
0,0.9546480974759453,0.863,0.826,0,0,NDUFA4,NDUFA4,ENSNFUG00015022001,cytochrome c oxidase subunit NDUFA4-like,ENSG00000189043,NDUFA4,NDUFA4 mitochondrial complex associated
0,0.9019762208745861,0.737,0.56,0,0,MSNA,MSNA,ENSNFUG00015020796,moesin-like,ENSG00000147065,MSN,moesin
0,0.8634918922035224,1,0.994,0,0,RPLP2,RPLP2,ENSNFUG00015012879,60S acidic ribosomal protein P2-like,,NA,NA
0,0.7997290024811872,0.406,0.179,0,0,MARCO,MARCO,ENSNFUG00015014614,macrophage receptor with collagenous structure,ENSG00000019169,MARCO,macrophage receptor with collagenous structure
0,0.6658516410766415,0.809,0.72,0,0,ENSNFUG00015008882,,ENSNFUG00015008882,tubulin alpha-1C chain-like,,NA,NA
0,0.6634314889444823,0.824,0.835,0,0,SPCS3,SPCS3,ENSNFUG00015004521,signal peptidase complex subunit 3,ENSG00000129128,SPCS3,signal peptidase complex subunit 3
0,0.6132523891770081,0.988,0.973,0,0,BTF3.1,NA,NA,NA,NA,NA,NA
0,0.581033528444042,0.944,0.95,0,0,RSL24D1,RSL24D1,ENSNFUG00015023247,ribosomal L24 domain containing 1,ENSG00000137876,RSL24D1,ribosomal L24 domain containing 1
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000270339,PPIAL4H,peptidylprolyl isomerase A like 4H
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000196262,PPIA,peptidylprolyl isomerase A
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000279782,PPIAL4F,peptidylprolyl isomerase A like 4F
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000288867,PPIAL4C,peptidylprolyl isomerase A like 4C
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000271567,PPIAL4E,peptidylprolyl isomerase A like 4E
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000263353,PPIAL4A,peptidylprolyl isomerase A like 4A
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000236334,PPIAL4G,peptidylprolyl isomerase A like 4G
0,0.5659407378767671,0.992,0.922,0,0,ppiaa,ppiaa,ENSNFUG00015005065,peptidylprolyl isomerase Aa (cyclophilin A),ENSG00000289549,PPIAL4D,peptidylprolyl isomerase A like 4D
9.360770840544102e-304,0.7130084810055046,0.75,0.802,6.772517703133658e-300,0,OLA.4512,OLA.4512,ENSNFUG00015014558,microsomal glutathione S-transferase 3-like,,NA,NA
1.4911103313049885e-299,1.1709520073783697,0.382,0.2,1.0788183246991592e-295,0,NCF1,NCF1,ENSNFUG00015008534,neutrophil cytosolic factor 1,ENSG00000158517,NCF1,neutrophil cytosolic factor 1
1.529444364150631e-298,1.1732974561210971,0.382,0.204,1.1065529974629816e-294,0,grk6,grk6,ENSNFUG00015017890,G protein-coupled receptor kinase 6,ENSG00000198055,GRK6,G protein-coupled receptor kinase 6
1.3167575680786745e-295,1.1692398103094042,0.315,0.136,9.52674100504921e-292,0,ENSNFUG00015003402,,ENSNFUG00015003402,uncharacterized LOC107381689,,NA,NA
1.0445846388821495e-292,1.1336845387729115,0.425,0.246,7.557569862312351e-289,0,stoml3b,stoml3b,ENSNFUG00015021759,stomatin (EPB72)-like 3b,ENSG00000133115,STOML3,stomatin like 3
2.6498330026726945e-286,0.9610833392263751,0.644,0.61,1.9171541774336945e-282,0,selenow2b,selenow2b,ENSNFUG00015001263,"selenoprotein W, 2b",ENSG00000141741,MIEN1,migration and invasion enhancer 1
4.16834167491457e-276,0.5622590496985937,0.86,0.922,3.015795201800691e-272,0,AK2,AK2,ENSNFUG00015021475,adenylate kinase 2,ENSG00000004455,AK2,adenylate kinase 2
3.727147496636698e-274,1.171676413109224,0.306,0.136,2.696591213816651e-270,0,ENSNFUG00015013577,,ENSNFUG00015013577,NA,ENSG00000125735,TNFSF14,TNF superfamily member 14
6.35410122377133e-274,1.127704745488259,0.474,0.315,4.597192235398557e-270,0,ENSNFUG00015007991,,ENSNFUG00015007991,EH domain-binding protein 1-like protein 1,ENSG00000173442,EHBP1L1,EH domain binding protein 1 like 1
9.000371956591229e-274,1.061207345766123,0.443,0.274,6.511769110593754e-270,0,OLA.26122,OLA.26122,ENSNFUG00015008033,kelch-like protein 9,,NA,NA
1.2083905936578301e-267,1.1279539483907235,0.407,0.241,8.742705945114401e-264,0,pstpip1a,pstpip1a,ENSNFUG00015006605,proline-serine-threonine phosphatase interacting protein 1a,ENSG00000140368,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000196228,SULT1C3,sulfotransferase family 1C member 3
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000288656,,novel protein
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000197165,SULT1A2,sulfotransferase family 1A member 2
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000196502,SULT1A1,sulfotransferase family 1A member 1
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000105398,SULT2A1,sulfotransferase family 2A member 1
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000173597,SULT1B1,sulfotransferase family 1B member 1
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000261052,SULT1A3,sulfotransferase family 1A member 3
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000213648,SULT1A4,sulfotransferase family 1A member 4
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000109193,SULT1E1,sulfotransferase family 1E member 1
1.9103201922838806e-259,1.046627464233369,0.294,0.128,1.3821166591173876e-255,0,SULT2ST3,SULT2ST3,ENSNFUG00015004557,sulfotransferase family cytosolic 2B member 1-like,ENSG00000284695,,novel protein
3.32794192931217e-256,1.0501398188636908,0.304,0.141,2.407765985857355e-252,0,DHRS9,DHRS9,ENSNFUG00015000820,retinol dehydrogenase 3-like,ENSG00000073737,DHRS9,dehydrogenase/reductase 9
3.528470433958001e-253,1.1660071707243451,0.509,0.411,2.5528483589686136e-249,0,ENSNFUG00015025376,,ENSNFUG00015025376,G protein subunit gamma 5,ENSG00000133136,GNG5P2,G protein subunit gamma 5 pseudogene 2
3.528470433958001e-253,1.1660071707243451,0.509,0.411,2.5528483589686136e-249,0,ENSNFUG00015025376,,ENSNFUG00015025376,G protein subunit gamma 5,ENSG00000174021,GNG5,G protein subunit gamma 5
1.1304382011712675e-252,0.706544570082241,0.722,0.738,8.17872038547412e-249,0,COX6A1,COX6A1,ENSNFUG00015007878,"cytochrome c oxidase subunit 6A, mitochondrial",ENSG00000156885,COX6A2,cytochrome c oxidase subunit 6A2
1.0882296352625984e-251,0.8230094816337608,0.729,0.793,7.873341411124899e-248,0,OLA.21581,OLA.21581,ENSNFUG00015009220,ubiquitin-conjugating enzyme E2 E1,,NA,NA
6.985468556258506e-251,1.0530039682726182,0.424,0.268,5.0539865004530294e-247,0,ENSNFUG00015005318,,ENSNFUG00015005318,NA,ENSG00000213654,GPSM3,G protein signaling modulator 3
4.828170693820089e-247,1.091595664599297,0.283,0.127,3.493181496978834e-243,0,NOC3L,NOC3L,ENSNFUG00015008102,NOC3 like DNA replication regulator,ENSG00000173145,NOC3L,NOC3 like DNA replication regulator
2.7595037986920026e-241,1.015664060344928,0.546,0.477,1.9965009983536638e-237,0,si:ch211-191j22.3,si:ch211-191j22.3,ENSNFUG00015005343,si:ch211-191j22.3,,NA,NA
4.863753333942883e-237,0.6732622575993576,0.753,0.82,3.5189255371076756e-233,0,slc25a3a,slc25a3a,ENSNFUG00015011651,solute carrier family 25 member 3,ENSG00000075415,SLC25A3,solute carrier family 25 member 3
3.825731907762583e-231,1.050618959479271,0.444,0.308,2.767917035266229e-227,0,nrros,nrros,ENSNFUG00015023459,negative regulator of reactive oxygen species,ENSG00000174004,NRROS,negative regulator of reactive oxygen species
8.331955451342696e-230,1.1261137928960216,0.339,0.188,6.02816976904644e-226,0,CIB1,CIB1,ENSNFUG00015015977,calcium and integrin binding 1,ENSG00000185043,CIB1,calcium and integrin binding 1
5.080629710484983e-226,0.6650474321501374,0.802,0.806,3.675835595535885e-222,0,ENSNFUG00015022838,,ENSNFUG00015022838,NA,,NA,NA
3.5259397043996903e-218,0.5444948058073531,0.811,0.91,2.5510173761331758e-214,0,EIF3G,EIF3G,ENSNFUG00015006209,eukaryotic translation initiation factor 3 subunit G,ENSG00000130811,EIF3G,eukaryotic translation initiation factor 3 subunit G
7.673075568887151e-214,1.0036195749411587,0.398,0.253,5.551470174089854e-210,0,hcls1,hcls1,ENSNFUG00015006102,hematopoietic cell-specific Lyn substrate 1,ENSG00000180353,HCLS1,hematopoietic cell-specific Lyn substrate 1
1.4842274855136427e-199,1.036650929941279,0.449,0.341,1.0738385857691205e-195,0,SLC6A6A,SLC6A6A,ENSNFUG00015015269,solute carrier family 6 member 6,ENSG00000131389,SLC6A6,solute carrier family 6 member 6
1.3418390786331498e-194,1.0378344982442398,0.313,0.177,9.70820573391084e-191,0,TPST1L,TPST1L,ENSNFUG00015009341,clathrin interactor 1-like,ENSG00000113282,CLINT1,clathrin interactor 1
1.3418390786331498e-194,1.0378344982442398,0.313,0.177,9.70820573391084e-191,0,TPST1L,TPST1L,ENSNFUG00015009341,clathrin interactor 1-like,ENSG00000113282,CLINT1,clathrin interactor 1
4.231548730149365e-190,0.7716218229871257,0.421,0.253,3.0615255062630658e-186,0,ALOXE3,ALOXE3,ENSNFUG00015002270,arachidonate lipoxygenase 3,ENSG00000179148,ALOXE3,arachidonate lipoxygenase 3
3.2287869609095768e-189,0.7404971332374877,0.653,0.65,2.336027366218079e-185,0,MDH1,MDH1,ENSNFUG00015023534,"malate dehydrogenase, cytoplasmic-like",ENSG00000014641,MDH1,malate dehydrogenase 1
4.05372733112846e-189,0.9245046540666253,0.496,0.402,2.9328717240714405e-185,0,eno1a,eno1a,ENSNFUG00015022140,"enolase 1a, (alpha)",ENSG00000074800,ENO1,enolase 1
